,Peak memory usage,Weights,Input activations,Activation gradients,Per-batch weight gradients,Per-example weight gradients,Workspace
gnmt_64x64_64_reweight_no_hooks,14310744064,1106658304,3779793416,1048576000,1106658304,16785408000,0
gnmt_64x64_128_reweight_no_hooks,27511665152,1106658304,7559586824,2097152000,1106658304,33570816000,0
gnmt_64x64_4_elegant_no_hooks,4005832704,1106658304,236237096,115671040,1106658304,1107877888,0
gnmt_64x64_8_elegant_no_hooks,4397199360,1106658304,472474184,231342080,1106658304,1109504000,0
gnmt_64x64_16_elegant_no_hooks,5206934528,1106658304,944948360,462684160,1106658304,1112756224,0
gnmt_64x64_32_elegant_no_hooks,6819243520,1106658304,1889896712,925368320,1106658304,1119260672,0
gnmt_64x64_64_elegant_no_hooks,10273437696,1106658304,3779793416,1850736640,1106658304,1132269568,0
gnmt_64x64_128_elegant_no_hooks,17223115264,1106658304,7559586824,3701473280,1106658304,1158287360,0
deepspeech_512x512_4_naive_no_hooks,6315046400,999271552,465432904,41943040,999271552,4412497920,0
deepspeech_512x512_8_naive_no_hooks,11608880128,999271552,930865800,83886080,999271552,8824995840,0
deepspeech_512x512_16_naive_no_hooks,22217305088,999271552,1861731592,167772160,999271552,17649991680,0
deepspeech_512x512_4_reweight_no_hooks,2378320384,999271552,465432904,41943040,999271552,1258455344,0
deepspeech_512x512_8_reweight_no_hooks,3703321600,999271552,930865800,83886080,999271552,2516910688,0
deepspeech_512x512_16_reweight_no_hooks,6406577152,999271552,1861731592,167772160,999271552,5033821376,0
deepspeech_512x512_32_reweight_no_hooks,11819826176,999271552,3723463176,335544320,999271552,10067642752,0
deepspeech_512x512_64_reweight_no_hooks,22626139136,999271552,7446926344,671088640,999271552,20135285504,0
deepspeech_512x512_4_elegant_no_hooks,3805026304,999271552,465432904,251777024,999271552,1003821568,0
deepspeech_512x512_8_elegant_no_hooks,4610859008,999271552,930865800,503554048,999271552,1009888256,0
deepspeech_512x512_16_elegant_no_hooks,7534308352,999271552,1861731592,1007108096,999271552,1022021632,0
deepspeech_512x512_32_elegant_no_hooks,14077139968,999271552,3723463176,2014216192,999271552,1046288384,0
deepspeech_512x512_64_elegant_no_hooks,27135130624,999271552,7446926344,4028432384,999271552,1094821888,0


resnet18_32x32_128_naive_no_hooks,6101187072,46758048,56087560,16777216,46758048,5985066912,0
resnet18_32x32_128_reweight_no_hooks,1319535104,46758048,56087560,16777216,46758048,1207966720,0
resnet18_32x32_128_elegant_no_hooks,1071117312,46758048,56087560,34852864,46758048,720110592,112729656
resnet18_32x32_256_naive_no_hooks,12115102208,46758048,112175112,33554432,46758048,11970129824,0
resnet18_32x32_256_reweight_no_hooks,2589899264,46758048,112175112,33554432,46758048,2415933440,0
resnet18_32x32_256_elegant_no_hooks,1291621376,46758048,112175112,69705728,46758048,725538816,233548808
resnet18_32x32_512_naive_no_hooks,24183441920,46758048,224350216,67108864,46758048,23940255648,0
resnet18_32x32_512_reweight_no_hooks,5131987456,46758048,224350216,67108864,46758048,4831866880,0
resnet18_32x32_512_elegant_no_hooks,1660340736,46758048,224350216,139411456,46758048,736395264,393851600
resnet18_32x32_1024_reweight_no_hooks,10216114688,46758048,448700424,134217728,46758048,9663733760,0
resnet18_32x32_1024_elegant_no_hooks,2423924224,46758048,448700424,278822912,46758048,758108160,715274064
resnet18_32x32_2048_reweight_no_hooks,20383123968,46758048,897400840,268435456,46758048,19327467520,0
resnet18_32x32_2048_elegant_no_hooks,3465890816,46758048,897400840,557645824,46758048,801533952,882239744
resnet18_32x32_4096_elegant_no_hooks,6067986432,46758048,1794801672,1115291648,46758048,888385536,1714058128
resnet50_32x32_64_naive_no_hooks,6771392512,102228128,111667720,8388608,102228128,6542645920,0
resnet50_32x32_64_reweight_no_hooks,824318976,102228128,111667720,8388608,102228128,603987200,0
resnet50_32x32_64_elegant_no_hooks,987320832,102228128,111667720,62515200,102228128,389133824,150815860
resnet50_32x32_128_naive_no_hooks,13313708544,102228128,223335432,16777216,102228128,13085287840,0
resnet50_32x32_128_reweight_no_hooks,1541485568,102228128,223335432,16777216,102228128,1207974400,0
resnet50_32x32_128_elegant_no_hooks,1234019840,102228128,223335432,125030400,102228128,402989056,205388028
resnet50_32x32_256_naive_no_hooks,26426816000,102228128,446670856,33554432,102228128,26170571680,0
resnet50_32x32_256_reweight_no_hooks,2976870912,102228128,446670856,33554432,102228128,2415948800,0
resnet50_32x32_256_elegant_no_hooks,2053625344,102228128,446670856,250060800,102228128,430699520,582121212
resnet50_32x32_512_reweight_no_hooks,5851885056,102228128,893341704,67108864,102228128,4831897600,0
resnet50_32x32_512_elegant_no_hooks,3315873280,102228128,893341704,500121600,102228128,486120448,998410140
resnet50_32x32_1024_reweight_no_hooks,11597669888,102228128,1786683400,134217728,102228128,9663795200,0
resnet50_32x32_1024_elegant_no_hooks,5638728704,102228128,1786683400,1000243200,102228128,596962304,1589878140
resnet50_32x32_2048_reweight_no_hooks,23085372928,102228128,3573366792,268435456,102228128,19327590400,0
resnet50_32x32_2048_elegant_no_hooks,8161614848,102228128,3573366792,2000486400,102228128,818646016,1046393596
resnet152_32x32_32_naive_no_hooks,8210061312,240771232,115602696,4194304,240771232,7704743456,0
resnet152_32x32_32_reweight_no_hooks,660914176,240771232,115602696,4194304,240771232,301993600,0
resnet152_32x32_32_elegant_no_hooks,1660091392,240771232,115602696,61142016,240771232,251480064,587435012
resnet152_32x32_64_naive_no_hooks,15917006848,240771232,231205384,8388608,240771232,15409482912,0
resnet152_32x32_64_reweight_no_hooks,1080916992,240771232,231205384,8388608,240771232,603987200,0
resnet152_32x32_64_elegant_no_hooks,2016157696,240771232,231205384,122284032,240771232,270990592,700820212
resnet152_32x32_128_naive_no_hooks,31327359488,240771232,462410760,16777216,240771232,30818961824,0
resnet152_32x32_128_reweight_no_hooks,1919218688,240771232,462410760,16777216,240771232,1207974400,0
resnet152_32x32_128_elegant_no_hooks,2613818368,240771232,462410760,244568064,240771232,310011648,917227548
resnet152_32x32_256_reweight_no_hooks,3593662976,240771232,924821512,33554432,240771232,2415948800,0
resnet152_32x32_256_elegant_no_hooks,3845476864,240771232,924821512,489136128,240771232,388053760,1264833020
resnet152_32x32_512_reweight_no_hooks,6947253760,240771232,1849643016,67108864,240771232,4831897600,0
resnet152_32x32_512_elegant_no_hooks,6677901824,240771232,1849643016,978272256,240771232,544137984,2293688572
resnet152_32x32_1024_reweight_no_hooks,13652682240,240771232,3699286024,134217728,240771232,9663795200,0
resnet152_32x32_1024_elegant_no_hooks,12258720256,240771232,3699286024,1956544512,240771232,856306432,4367155932
bert-base_32x32_16_naive_no_hooks,8040289792,433250316,256495944,12582912,431671308,6906753804,0
bert-base_32x32_16_reweight_no_hooks,1953244672,433250316,256495944,12582912,431671308,1425224128,0
bert-base_32x32_16_elegant_no_hooks,1740374528,433250316,256495944,176210112,431671308,436629888,0
bert-base_32x32_32_naive_no_hooks,14958118400,433250316,512983688,25165824,431671308,13813507596,0
bert-base_32x32_32_reweight_no_hooks,3381417472,433250316,512983688,25165824,431671308,2850448256,0
bert-base_32x32_32_elegant_no_hooks,2066463232,433250316,512983688,352420224,431671308,444445440,0
bert-base_32x32_64_naive_no_hooks,28761008640,433250316,1025959176,50331648,431671308,27627015180,0
bert-base_32x32_64_reweight_no_hooks,6237763584,433250316,1025959176,50331648,431671308,5700896512,0
bert-base_32x32_64_elegant_no_hooks,2749508608,433250316,1025959176,704840448,431671308,460076544,0
bert-base_32x32_128_reweight_no_hooks,11950455296,433250316,2051910152,100663296,431671308,11401793024,0
bert-base_32x32_128_elegant_no_hooks,4120384000,433250316,2051910152,1409680896,431671308,491338752,0
bert-base_32x32_256_reweight_no_hooks,23378038272,433250316,4103812104,201326592,431671308,22803586048,0
bert-base_32x32_256_elegant_no_hooks,6845623296,433250316,4103812104,2819361792,431671308,553863168,0
bert-base_32x32_512_elegant_no_hooks,12373224448,433250316,8207616008,5638723584,431671308,678912000,0
bert-large_32x32_4_naive_no_hooks,8356600320,1334329356,170437720,4194304,1332224012,5328902348,0
bert-large_32x32_4_reweight_no_hooks,2907383296,1334329356,170437720,4194304,1332224012,475076720,0
bert-large_32x32_4_elegant_no_hooks,4341785600,1334329356,170437720,115359792,1332224012,1331888224,0
bert-large_32x32_8_naive_no_hooks,13686482432,1334329356,340867240,8388608,1332224012,10657804684,0
bert-large_32x32_8_reweight_no_hooks,2906616320,1334329356,340867240,8388608,1332224012,950153440,0
bert-large_32x32_8_elegant_no_hooks,4567617536,1334329356,340867240,230719584,1332224012,1337049280,0
bert-large_32x32_16_naive_no_hooks,24344149504,1334329356,681726280,16777216,1332224012,21315609356,0
bert-large_32x32_16_reweight_no_hooks,3360416768,1334329356,681726280,16777216,1332224012,1900306880,0
bert-large_32x32_16_elegant_no_hooks,5018804224,1334329356,681726280,461439168,1332224012,1347371392,0
